eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,ingroup,ingroup2,ingroup3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2.01501E+11,2015,1,6,,0,,217,United States,1,North America,Colorado,Colorado Springs,38.824856,-104.81311,1,0,,"01/06/2015: An explosive device detonated outside of the offices of the National Association for the Advancement of Colored People (NAACP) in Colorado Springs, Colorado, United States. No one was injured in the blast, but the building suffered minor damages. No group claimed responsibility for the incident; however, law enforcement officials arrested Thaddeus Murphy in connection with the attack. Murphy admitted to the bombing, but claimed that a tax preparation office, not the NAACP, was the target.",0,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,.,,.,1,Business,,.,Unknown,Tax Preparation Company,217,United States,14,Private Citizens & Property,82,Labor Union Related,National Association for the Advancement of Colored People (NAACP),Office,217,United States,,.,,.,,,,.,Unaffiliated Individual(s),,,,,20202,,,,,0,,,1,1,1,8,Personal claim,,,.,,,.,,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,.,,.,,.,,.,,.,,.,A homemade bomb and a gas can were used the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A National Association for the Advancement of Colored People (NAACP) office building was damaged in this attack.,0,,,,,,,,,,,,,,.,,There is doubt this incident meets terrorism-related criteria.  Sources suggest that the attack may  have been related to a personal feud with a tax accountant.,"""National Briefing - Rockies: Colorado: Explosive Set Off Near N.A.A.C.P. Building,"" New York Times, January 7, 2015.","""Explosion outside black rights headquarters was deliberate says FBI,"" TheJournal.ie, January 7, 2015.","""NAACP offices bombed in deliberate attack: FBI,"" 9News.com.au, January 8, 2015.",START Primary Collection,-9,-9,0,-9,
2.01502E+11,2015,2,10,,0,,217,United States,1,North America,North Carolina,Chapel Hill,35.896708,-79.009738,1,0,The incident occurred in the Summerwalk Circle area of the city.,"02/10/2015: An assailant opened fire on Deah Shaddy Barakat, Yusor Mohammad Abu-Salha, and Razan Mohammad Abu-Salha at their residence in Chapel Hill, North Carolina, United States. The three family members were killed in the assault. No group claimed responsibility; however, authorities arrested and indicted Craig Stephen Hicks for the triple homicide. Sources were unsure whether the assailant was motivated by Islamophobic feelings or if the attack was the result of a parking dispute.",0,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,,.,,.,14,Private Citizens & Property,69,Religion Identified,Not Applicable,"Muslim Civilians: Deah Shaddy Barakat, Yusor Mohammad Abu-Salha, Razan Mohammad Abu-Salha",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,,,,20202,,,,"The specific motive is unknown; however, sources posited that the assailant, Craig Stephen Hicks, was Islamophobic.",0,,,1,1,1,8,Personal claim,,,.,,,.,,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,A .357-caliber pistol was used in the attack.,3,3,0,0,0,0,0,,.,,,0,,,,,,,,,,,,,,.,,"There is doubt that this incident meets terrorism-related criteria, given that it is unclear whether the assailant was motivated by Islamophobic feelings or by a parking dispute.","""Man charged with killing 3 Muslims can face death penalty,"" The Associated Press, April 6, 2015.","""In Chapel Hill Shooting of 3 Muslims, a Question of Motive,"" The New York Times, February 11, 2015.","""State PAO: Algiers Media Digest 14-16 February 2015,"" OSC Summary, February 16, 2015.",START Primary Collection,-9,-9,0,-9,
2.01502E+11,2015,2,17,,0,,217,United States,1,North America,Florida,Melbourne,28.122223,-80.689149,1,0,,"02/17/2015: Assailants set fire to the New Shiloh Christian Center in Melbourne city, Florida, United States. There were no casualties in the attack, but the church sustained $5,000 in damages. No group claimed responsibility for the incident; however, the assailants spray painted a swastika as well as the words ""Allahu Akbar"" on a nearby shed.",1,1,1,0,,.,0,1,0,7,Facility/Infrastructure Attack,,.,,.,15,Religious Figures/Institutions,86,Place of Worship,New Shiloh Christian Center,Church,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,"The specific motive is unknown; however, sources noted that a swastika was found on a the New Shiloh Christian Center.",0,,,-99,0,0,,.,,,.,,,.,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),5000,"An unknown number of chairs and other furniture pieces were damaged in this attack. Additionally, a shed as well as an unknown number of locks and doors were damaged.",0,,,,,,,,,,,,,,.,,,"""Police investigate vandalism, arson at Melbourne church,"" Florida Today, February 17, 2015.",,,START Primary Collection,-9,-9,0,-9,
2.01502E+11,2015,2,18,,0,,217,United States,1,North America,Michigan,Kalamazoo,42.258525,-85.589194,1,0,,"02/18/2015: An assailant set fire to the Hollywood Nights adult entertainment store in Kalamazoo city, Michigan, United States. There were no casualties reported in the incident, but the building was damaged in the blaze. Police arrested Mitchell Hapner in connection with the fire. Hapner confessed to the arson and claimed that he was trying to ""eradicate pornography."" Hapner was later found not guilty by reason of insanity for the attack.",1,1,1,1,4,Lack of Intentionality,0,1,0,7,Facility/Infrastructure Attack,,.,,.,1,Business,7,Retail/Grocery/Bakery,Hollywood Nights,Store,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,,,,20202,,,,"An individual, identified as Mitchell Hapner, claimed responsibility for the incident and stated that he was attempting to ""eradicate porn.""",0,,,1,1,1,8,Personal claim,,,.,,,.,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,An adult entertainment store was damaged in this attack.,0,,,,,,,,,,,,,,.,,There is reason to doubt that this incident meets terrorism-related criteria because several sources stated that the assailant suffered from mental problems.,"""Man who set sex shop on fire found not guilty, but insane,"" Fox 17, March 10, 2016.","""Suspect in adult shop fire got 'prophecies from God',"" WOOD TV, February 20, 2015.","""'Eradicate porn' was goal of man who burned down Hollywood Nights adult store, Kalamazoo police say,"" Michigan Live, February 20, 2015.",START Primary Collection,-9,-9,0,-9,
2.01502E+11,2015,2,23,,0,,217,United States,1,North America,Ohio,Kent,41.151766,-81.348654,1,0,,"02/23/2015: Assailants set fire to two Reserve Officers' Training Corps (ROTC) vans at Kent State University in Kent, Ohio, United States. There were no reported casualties, although both vehicles were damaged in the attack. Anarchists claimed responsibility for the incident.",1,1,1,0,,.,0,1,0,7,Facility/Infrastructure Attack,,.,,.,4,Military,35,Military Transportation/Vehicle (excluding convoys),Reserve Officers' Training Corps (ROTC),Vans,217,United States,,.,,.,,,,.,,.,,.,,,,.,Anarchists,,,,,648,,,,,0,,,-99,0,1,7,"Posted to website, blog, etc.",,,.,,,.,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,Two ROTC passenger vans were damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Arson suspected in ROTC van burnings at Ohio university,"" Associated Press, February 24, 2015.","""Kent State ROTC vans set on fire; cadets ordered to dress as civilians,"" Washington Times, February 25, 2015.","""Military Vans Torched, Cadets Ordered Not to Wear Uniforms on Campus (USA),"" 325, February 27, 2015.",START Primary Collection,-9,-9,0,-9,
2.01503E+11,2015,3,9,,0,,217,United States,1,North America,Nevada,Reno,39.530155,-119.8142,1,0,,"03/09/2015: Assailants threw an incendiary device at a Kentucky Fried Chicken (KFC) in Reno, Nevada, United States. No one was injured in the attack, but a window was damaged. The Animal Liberation Front (ALF) claimed responsibility for the incident.",1,1,1,0,,.,0,1,0,7,Facility/Infrastructure Attack,,.,,.,1,Business,2,Restaurant/Bar/Café,Kentucky Fried Chicken (KFC),Restaurant,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),,,,,291,,,,,0,,,-99,0,1,5,Note left at scene,,,.,,,.,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,.,,.,,.,,.,,.,,.,A firebomb was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A window in the KFC restaurant was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""FBI probes possible domestic terrorism at Reno KFC,"" The Associated Press, March 10, 2015.",,,START Primary Collection,0,1,0,1,
2.01503E+11,2015,3,20,,0,,217,United States,1,North America,Louisiana,New Orleans,29.984368,-90.257301,1,0,,"03/20/2015: An assailant attacked a Transportation Security Administration (TSA) checkpoint at the New Orleans airport in New Orleans city, Louisiana, United States. The assailant was killed and two TSA agents were wounded in the incident No group claimed responsibility for the attack; however, sources attributed the attack to an individual, identified as Richard White.",1,1,1,1,4,Lack of Intentionality,0,1,0,2,Armed Assault,,.,,.,2,Government (General),18,"Government Personnel (excluding police, military)",Transportation Security Administration (TSA),Agents,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,,,,20202,,,,,0,,,1,0,0,,.,,,.,,,.,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,9,Melee,23,Knife or Other Sharp Object,2,Chemical,1,Poisoning,,.,,.,"Six Molotov cocktails, a machete, and insecticide were used in the attack.",1,1,1,2,2,0,0,,.,,,0,,,,,,,,,,,,,,.,,"There is doubt that this incident meets terrorism-related criteria, given that the assailant may have suffered from a mental illness.","""Assailant Shot at New Orleans Airport Had Fire Bombs, Officials Say,"" New York Times, March 21, 2015.","""Man shot and killed after attacking TSA agents with machete, bug spray,"" UPI, March 22, 2015.","""Airport Attacker Had 6 Molotov Cocktails, Officials Say,"" NBCNews.com, March 21, 2015.",START Primary Collection,-9,-9,0,-9,
2.01505E+11,2015,5,3,,0,,217,United States,1,North America,Texas,Garland,32.959034,-96.641877,1,0,,"05/03/2015: Two assailants opened fire on the Curtis Culwell Center, which was hosting an exhibition of cartoons of the Prophet Muhammad, in Garland, Texas, United States. The assailants were killed and a security guard wounded in the attack. The assailants were identified as Elton Simpson and Nadir Soofi and had claimed response for the attack in twitter statements before the shooting.",1,1,1,0,,.,0,1,0,2,Armed Assault,,.,,.,14,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",American Freedom Defense Initiative (AFDI),Muhammad Art Exhibit and Contest,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,,,,20202,,,,"The specific motive is unknown; however, sources noted that images depicting the Prophet Muhammad are viewed as un-Islamic by the Muslim community.",0,,,2,0,1,7,"Posted to website, blog, etc.",,,.,,,.,,5,Firearms,2,Automatic Weapon,,.,,.,,.,,.,,.,,.,Assault rifles were used in the attack.,2,2,2,1,1,0,0,,.,,,0,,,,,,,,,,,,,,.,,"Simpson had been indicted in 2010 on charges of lying about wanting to travel to Somalia to join a terrorist group and had pledged allegiance to the ""Commander of the Faithful"", suspected to refer to ISIL leader Abu Bakr Baghdadi.","""Two die at US Prophet cartoon contest,"" BBC, May 4, 2015.","""Islamic State claims responsibility for attack at Texas cartoon event,"" Los Angeles Times, May 6, 2015.","""Texas Gunmen Said to Be Inspired, Not Directed, by Terror Cells,"" Bloomberg, May 5, 2015.",START Primary Collection,-9,-9,0,-9,
2.01506E+11,2015,6,17,,0,,217,United States,1,North America,South Carolina,Charleston,32.787474,-79.933101,1,0,,"06/17/2015: An assailant opened fire on parishioners at Emanuel African Methodist Episcopal Church in Charleston, South Carolina, United States. At least nine people were killed in the attack. An individual, identified as Dylann Roof, claimed responsibility for the incident.",1,1,1,0,,.,0,1,0,2,Armed Assault,,.,,.,15,Religious Figures/Institutions,86,Place of Worship,Emanuel African Methodist Episcopal Church,Church,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,,,,20202,,,,"The specific motive is unknown; however, sources posited that Dylann Roof intended to start a ""race war"" within the United States (US).",0,,,1,1,1,8,Personal claim,,,.,,,.,,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,A .45-caliber pistol was used in the attack.,9,9,0,0,0,0,-9,,.,,It is unknown if any property was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Dylann Roof charged with murder after Charleston church massacre,"" MSNBC.com, June 19, 2015.","""Everything We Know About the Charleston Shooting,"" Time, June 18, 2015.","""South Carolina Church Shooting Suspect Arrested,"" Eurasia Review, June 18, 2015.",START Primary Collection,-9,-9,0,-9,
2.01506E+11,2015,6,22,,0,,217,United States,1,North America,Tennessee,Knoxville,35.967509,-83.946033,1,0,The incident occurred in the College Hills area.,"06/22/2015: Assailants set fire to the College Hill Seventh Day Adventist Church and a church van in the College Hills area, Knoxville, Tennessee, United States. No casualties were reported. No group claimed responsibility for the incident.",0,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,.,,.,15,Religious Figures/Institutions,86,Place of Worship,College Hill Seventh Day Adventist Church,Church,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church building and a church van were damaged in this attack.,0,,,,,,,,,,,,,,.,,"There is doubt that this incident meets terrorism-related criteria, given that authorities suspected that the incident may have been an incident of vandalism unrelated to hate crime.","""Fires at churches in spotlight,"" CNN, June 29, 2015.","""String of arson fires destroy black churches in Southern US,"" Islam Times, June 30, 2015.","""Feds Investigate String of Fires at Black Churches in South,"" Time, June 29, 2015.",START Primary Collection,-9,-9,0,-9,
