TAIL_NUMBER,FIRST_FLIGHT,TYPE,DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,DESTINATION_CITY,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_COUNTRY,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DESTINATION_WCODE,ORIGIN_WCODE,DESTINATION_TEMPERATURE_2M_MAX,ORIGIN_TEMPERATURE_2M_MAX,DESTINATION_TEMPERATURE_2M_MIN,ORIGIN_TEMPERATURE_2M_MIN,DESTINATION_APPARENT_TEMPERATURE_MAX,ORIGIN_APPARENT_TEMPERATURE_MAX,DESTINATION_APPARENT_TEMPERATURE_MIN,ORIGIN_APPARENT_TEMPERATURE_MIN,DESTINATION_PRECIPITATION_HOURS,ORIGIN_PRECIPITATION_HOURS,DESTINATION_SUNRISE,ORIGIN_SUNRISE,DESTINATION_SUNSET,ORIGIN_SUNSET,DESTINATION_WINDSPEED_10M_MAX,ORIGIN_WINDSPEED_10M_MAX,DESTINATION_WINDGUSTS_10M_MAX,ORIGIN_WINDGUSTS_10M_MAX,DESTINATION_WINDDIRECTION_10M_DOMINANT_10M_MAX,ORIGIN_WINDDIRECTION_10M_DOMINANT_10M_MAX,ARRIVAL_DELAY_CATEGORY
355,1761,26,119,119,118,10,0,21.31869,-157.92241,2015,5,4,1,10,200,117,630,656,26,12.0,708.0,430,408.0,392.0,3801,1740.0,4.0,1740,1744.0,4.0,0,0,-1,,,,,,103,1,9,0,13.48345,-144.79598,51,3,25.8,25.3,22.7,24.7,28.9,24.8,23.2,22.6,1,0,2254,2237,2268,2244,25.4,38.5,53.3,50.8,82,60,0
1576,410,25,176,170,166,7,0,25.79325,-80.29056,2015,6,14,7,0,1350,251,810,813,3,12.0,825.0,174,174.0,151.0,1107,1056.0,11.0,1104,1107.0,3.0,0,0,-1,,,,,,57,49,46,0,18.33731,-64.97336,53,51,29.6,27.5,25.5,26.3,33.0,29.8,29.8,27.3,8,2,3016,2986,3027,2998,21.0,32.8,38.2,44.6,99,93,0
1640,1332,25,11,112,14,8,0,33.64044,-84.42694,2015,1,12,1,3,1595,243,1640,1705,25,19.0,1724.0,244,233.0,202.0,1547,1946.0,12.0,1944,1958.0,14.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,53,53,7.8,27.5,2.6,22.9,7.4,28.8,-1.1,25.2,8,11,202,207,198,199,14.4,27.4,25.9,53.3,66,98,0
1580,455,25,176,170,166,7,0,25.79325,-80.29056,2015,1,30,5,0,2404,243,1834,1832,-2,12.0,1844.0,175,179.0,146.0,1045,2010.0,21.0,2029,2031.0,2.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,2,51,23.8,27.8,15.0,21.4,22.5,31.0,15.5,26.2,0,9,494,509,488,502,17.2,14.5,24.8,29.9,335,71,0
2676,873,25,209,200,203,37,0,39.87195,-75.24114,2015,9,23,3,0,772,243,1520,1513,-7,15.0,1528.0,231,241.0,209.0,1576,1857.0,17.0,1911,1914.0,3.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,2,63,25.2,31.8,13.3,24.6,25.1,36.8,12.6,30.3,0,11,4928,4863,4951,4902,12.7,14.0,29.9,23.0,49,102,0
1749,107,25,11,112,14,8,0,33.64044,-84.42694,2015,9,5,6,3,506,243,1420,1614,114,47.0,1701.0,227,250.0,198.0,1547,2019.0,5.0,1807,2024.0,137.0,0,0,-1,23.0,0.0,114.0,0.0,0.0,149,220,38,0,18.43942,-66.00183,53,61,30.8,32.5,21.4,25.4,34.0,38.7,23.2,31.8,4,5,4613,4541,4642,4580,13.3,9.3,31.7,28.4,84,109,2
267,1246,5,53,41,47,26,0,35.21401,-80.94313,2015,4,1,3,11,836,243,1445,1449,4,10.0,1459.0,231,231.0,200.0,1475,1819.0,21.0,1836,1840.0,4.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,1,51,21.5,28.3,9.1,21.8,20.0,30.2,9.4,25.0,0,5,1625,1638,1637,1635,13.8,22.7,37.1,41.4,63,97,0
716,2047,23,87,185,185,30,0,40.6925,-74.16866,2015,4,25,6,10,1572,243,1347,1427,40,11.0,1438.0,250,273.0,247.0,1608,1845.0,15.0,1757,1900.0,63.0,0,0,-1,23.0,0.0,40.0,0.0,0.0,149,220,38,0,18.43942,-66.00183,2,2,14.7,33.0,1.0,22.8,11.5,36.0,-1.6,29.7,0,0,2072,2063,2086,2069,14.1,9.7,33.1,27.4,303,185,2
1247,882,3,141,130,184,33,0,40.63975,-73.77893,2015,3,2,1,2,1504,243,600,755,115,10.0,805.0,246,246.0,228.0,1598,1053.0,8.0,906,1101.0,115.0,0,0,-1,0.0,0.0,20.0,95.0,0.0,149,220,38,0,18.43942,-66.00183,3,51,1.9,27.9,-9.5,22.4,-3.6,30.3,-9.6,24.6,0,2,1059,1079,1056,1067,27.9,20.6,54.0,43.2,298,73,2
1297,126,3,66,223,11,45,0,38.85208,-77.03772,2015,5,31,7,2,1348,243,1759,1959,120,11.0,2010.0,230,223.0,207.0,1554,2337.0,5.0,2149,2342.0,113.0,0,0,-1,0.0,0.0,113.0,0.0,0.0,149,220,38,0,18.43942,-66.00183,51,63,31.5,30.5,21.4,24.0,34.3,35.7,24.1,29.2,1,5,2742,2715,2757,2726,14.9,18.5,37.8,34.6,193,107,2
1533,1830,3,16,31,264,6,0,41.93887,-72.68323,2015,11,10,2,2,176,243,1500,1526,26,14.0,1540.0,238,223.0,201.0,1666,1801.0,8.0,1758,1809.0,11.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,55,51,16.1,29.5,6.0,24.9,11.4,34.2,2.9,29.3,6,7,5267,5205,5285,5246,19.7,23.5,43.2,42.5,33,95,0
286,258,50,258,117,52,46,0,17.70189,-64.79856,2015,11,3,2,2,340,243,1530,1549,19,11.0,1600.0,40,39.0,24.0,94,1624.0,4.0,1610,1628.0,18.0,0,0,-1,0.0,0.0,18.0,0.0,0.0,149,220,38,0,18.43942,-66.00183,51,61,28.4,28.7,26.9,25.1,31.3,33.1,28.8,30.0,7,14,5137,5064,5157,5102,30.3,15.3,45.7,37.8,88,92,1
1654,317,3,141,130,184,33,0,40.63975,-73.77893,2015,8,30,7,2,1804,243,2215,11,116,12.0,23.0,227,218.0,199.0,1598,342.0,7.0,202,349.0,107.0,0,0,-1,0.0,0.0,0.0,107.0,0.0,149,220,38,0,18.43942,-66.00183,2,51,30.8,31.0,20.0,25.3,31.8,36.7,22.5,30.3,0,7,4492,4418,4518,4460,15.7,21.6,31.0,40.3,227,97,2
1812,1455,3,141,130,184,33,0,40.63975,-73.77893,2015,6,24,3,2,804,243,2006,2143,97,12.0,2155.0,233,223.0,206.0,1598,121.0,5.0,2359,126.0,87.0,0,0,-1,0.0,0.0,15.0,72.0,0.0,149,220,38,0,18.43942,-66.00183,1,51,27.5,30.7,18.1,25.2,29.6,34.0,19.1,29.5,0,3,3196,3181,3224,3200,15.0,27.2,28.8,47.9,312,100,2
2002,122,3,257,56,48,46,0,18.33731,-64.97336,2015,11,30,1,2,1036,243,1649,1653,4,13.0,1706.0,35,36.0,20.0,68,1726.0,3.0,1724,1729.0,5.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,53,61,27.5,28.1,26.4,24.3,30.2,33.5,27.4,28.5,5,7,5626,5569,5646,5618,31.9,17.1,42.5,32.8,103,111,0
2079,756,3,95,88,94,7,0,26.07258,-80.15275,2015,4,12,7,2,1554,243,427,501,34,11.0,512.0,170,158.0,141.0,1046,733.0,6.0,717,739.0,22.0,0,0,-1,0.0,0.0,22.0,0.0,0.0,149,220,38,0,18.43942,-66.00183,51,2,28.7,29.6,23.5,22.8,30.8,32.0,27.2,26.5,2,0,1828,1840,1834,1844,19.9,23.9,36.4,45.0,132,95,1
563,1600,50,167,195,195,7,0,28.42889,-81.31603,2015,11,24,2,2,2134,243,450,445,-5,11.0,456.0,182,191.0,176.0,1189,652.0,4.0,652,656.0,4.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,3,51,20.7,30.6,14.1,23.0,18.8,35.0,11.3,29.2,0,2,5536,5474,5553,5515,20.3,7.3,46.1,18.4,50,183,0
1412,497,5,95,88,94,7,0,26.07258,-80.15275,2015,8,8,6,8,710,243,1615,1622,7,14.0,1636.0,165,160.0,137.0,1046,1853.0,9.0,1900,1902.0,2.0,0,0,-1,,,,,,149,220,38,0,18.43942,-66.00183,51,63,32.6,30.7,25.6,25.4,37.2,35.6,31.1,30.7,3,4,4084,4020,4111,4059,15.2,20.3,27.7,40.7,220,109,0
