DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,DESTINATION_CITY,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_COUNTRY,ORIGIN_LATITUDE,ORIGIN_LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,1,1,4,EV,4311,N15912,ORD,1820,1812.0,-8.0,22.0,1834.0,109.0,105.0,77.0,654,2051.0,6.0,2109,2057.0,-12.0,0,0,,,,,,,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,9,23,3,EV,5969,N16561,ORD,1357,1350.0,-7.0,27.0,1417.0,115.0,117.0,87.0,654,1644.0,3.0,1652,1647.0,-5.0,0,0,,,,,,,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,5,16,6,DL,2582,N957AT,ATL,2035,2033.0,-2.0,11.0,2044.0,123.0,114.0,99.0,692,2223.0,4.0,2238,2227.0,-11.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,12,13,7,DL,1600,N998AT,ATL,2105,2102.0,-3.0,18.0,2120.0,121.0,107.0,85.0,692,2245.0,4.0,2306,2249.0,-17.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,8,7,5,EV,5018,N878AS,DTW,1007,1003.0,-4.0,16.0,1019.0,87.0,86.0,67.0,425,1126.0,3.0,1134,1129.0,-5.0,0,0,,,,,,,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,2,6,5,MQ,3135,N671MQ,DFW,2150,2145.0,-5.0,11.0,2156.0,46.0,43.0,29.0,158,2225.0,3.0,2236,2228.0,-8.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,4,20,1,MQ,2927,N656MQ,DFW,1830,1829.0,-1.0,17.0,1846.0,60.0,49.0,29.0,158,1915.0,3.0,1930,1918.0,-12.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,7,5,7,MQ,3441,N631MQ,DFW,1700,1717.0,17.0,15.0,1732.0,59.0,46.0,30.0,158,1802.0,1.0,1759,1803.0,4.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,9,17,4,MQ,3445,N833MQ,DFW,2145,2231.0,46.0,17.0,2248.0,51.0,50.0,28.0,158,2316.0,5.0,2236,2321.0,45.0,0,0,,0.0,0.0,45.0,0.0,0.0,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,1,7,3,WN,1945,N271LV,LAX,1525,1554.0,29.0,9.0,1603.0,100.0,106.0,93.0,677,1836.0,4.0,1805,1840.0,35.0,0,0,,6.0,0.0,3.0,26.0,0.0,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,4,20,1,WN,734,N7720F,LAX,2200,2225.0,25.0,10.0,2235.0,105.0,100.0,86.0,677,101.0,4.0,45,105.0,20.0,0,0,,0.0,0.0,18.0,2.0,0.0,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,7,10,5,WN,558,N385SW,LAX,850,907.0,17.0,9.0,916.0,110.0,100.0,85.0,677,1141.0,6.0,1140,1147.0,7.0,0,0,,,,,,,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
